id,title,category_id,category_name,performer,creator,address,price,description,venue_type,tags,latitude,longitude
E0-001-100330861-9,Wild House with Cesar Merveille  Rare Movement & DJ Reas,music,Concerts &amp; Tour Dates,wild house,dispoclown,None,20CHF, Line-up /<p><a>Cesar Merveille</a> (Visionquest  Cadenza)<br><a>Rare Movement</a> (Cadenza)<br> DJ <a>Reas</a> (Wild House)<p> WILD HOUSE <br><br> Cesar Merveille (Visionquest  Cadenza)<br><br> Rare Movement & DJ Reas (Wild House)<br><br> Entrée 20chf - 10chf avec le badge WEETAMIX 2017<br><br> https://soundcloud.com/CesarMerveille<br> https://www.residentadvisor.net/dj/cesarmerveille<br> https://soundcloud.com/rare-movement<br> https://www.residentadvisor.net/dj/raremovement<br> https://soundcloud.com/djreas<br> https://www.residentadvisor.net/dj/reas <ul></ul></p></p>,named place,dj ever fruits house lounge music parties residentadvisornet sexiest singles singles_social social,46.2,6.16667
E0-001-101038059-6,Baby Boa 2 Years / Oxia,music,Concerts &amp; Tour Dates,OXIA,evdb,None,Free Till 01h After 20CHF  Member Free, Line-up /<p><a>Oxia</a><br><a>Paul Eg</a><br><a>Dylan Casale</a><p><ul></ul></p></p>,named place,dance music residentadvisornet singles_social,46.2,6.16667
E0-001-099526035-4,Motel Campo - Lil Louis,music,Concerts &amp; Tour Dates,Lil’ Louis,evdb,None,18 CHF jusqu&#39;à 1h  23 CHF ensuite, Line-up /<p><a>Lil Louis</a><br> Dj <a>Reas</a><br><a>Crowdpleaser</a><br> Constellation<p></p></p>,named place,dance music randb residentadvisornet singles_social,46.2,6.16667
E0-001-098657749-2,Saez,music,Concerts &amp; Tour Dates,Saez,evdb,Route des Batailleux 3 Gd-Saconnex,None,None,address,concerts music rock tickets viagogocom,46.2337626,6.112297
E0-001-101548628-4,Les Cowboys Fringants,music,Concerts &amp; Tour Dates,Les Cowboys Fringants,evdb,Route des Batailleux 3 Gd-Saconnex,None,None,address,alternative country folk music tickets viagogocom,46.2337626,6.112297
E0-001-100394289-3,Speedy J - Speedy J,music,Concerts &amp; Tour Dates,Speedy J,evdb,None,None,None,named place,electronic gigatoolscom music rock,46.2,6.16667
E0-001-101825400-2,Rebekah - Fear Paralysis Tour at Electron Festival,music,Concerts &amp; Tour Dates,Rebekah,Nextcat,None,None,None,named place,electronic festival festivals_parades gigatoolscom maybefamily music pop,46.2,6.16667
E0-001-100394239-8,Chris Liebing,music,Concerts &amp; Tour Dates,Chris Liebing,Timoflieg,None,None,None,named place,ableton allenheath chris dj electronic gigatoolscom liebing music producer progressive remixer schranz singles_social techno traktor,46.2,6.16667
E0-001-098647330-9,Mathew Jonson,music,Concerts &amp; Tour Dates,Mathew Jonson,evdb,None,None,None,named place,dance electronic gigatoolscom music,46.2,6.16667
E0-001-101789339-0,DANIEL STEINBERG,music,Concerts &amp; Tour Dates,Daniel Steinberg,evdb,None,Free Till 01h After 20CHF  Member Free,None,named place,dance gigatoolscom music residentadvisornet singles_social,46.2,6.16667
E0-001-100888224-0,GNOD + GROUP A + PASSEURS DE DISQUES,music,Concerts &amp; Tour Dates,GNOD,Caj,None,None, <p>MARDI 25 AVRIL – 21h00 (concerts 21h30 !!!)<p>- SMASHING TUESDAY EVENIG with GNOD 10 YEARS PROTEST_CATACLYSMIC ANNIVERSARY TOUR  AVANT_NOISE_SYNTH_HEAVY_MINIMAL_WAVE TOKYO GRRRLS BEAST DUO & LIGHTNING SPECIAL DJ SET DUO_TRIPLE YEAH/YEAH/YEAH !!! -<p><strong>GNOD</strong> (UK)<br> Freak Full Combo Trance & More Cataclysm Protest Actions…<br> +<br><strong>GROUP A</strong> (Japon)<br> Tommy Tokyo : synthétiseur  voix  percussion<br> Sayaka Botanic : violon  synthétiseur  cassettes<br> + <br><strong>PASSEURS DE DISQUES</strong> :<br> Tzii & Simon De Wildrfid : set spécialement pensé pour l’occasion<br><p><strong>PREMIR CONCERT 21h30 TAPANTES !</strong><p>ooooOOOOOHHHHHH yeeeAAAH !<p>Mardi soir_tuerie ici ET mardi soir_anniversaire avec la venue de cette incroyable combo-horde tarée anglaise à géométrie variable qu’est GNOD et qui fête ce soir leurs  YES  10 ans !<p>10 ans à écumer les territoires sonores et scènes de toute l’Europe avec une trajectoire musicale faite de fluctuation constante dès leur début et un besoin incessant de découvrir de nouveaux mondes/univers sonores. Oscillant entre drone shamanique  rituels primaux  communautarisme et martèlements répétitifs incitant à la transe la plus absolue  GNOD délivre une musique en constante mutation  avec un besoin/nécessité/urgence agitée  impatiente et magistralement organique. Catégoriser/comparer la musique de GNOD relève de la gageure  tant le groupe n’a jamais « imit頻 aucun genre en particulier  aiguisant au contraire enregistrements après enregistrements et concerts après concerts leur place unique au sein d’une scène musicale réellement indépendante. Avec un même dévouement d’exploration totale en live  GNOD est devenu et est  à juste titre  considéré comme l’un des groupes lives les plus célébrés d’Angleterre.<br> 10 ans de fracas insensé et GNOD refuse de se s’arrêter là  désireux au contraire de pousser encore et encore plus loin leurs explorations/évolutions. Avec une incarnation live plus que jamais caractérisée par une sorte de « nouvelle protest music » écrasante et cataclysmique  autant euphorique que nihiliste  GNOD affirme de manière stridente leur noyeau-central spirituel et communautaire  contournant les attentes trop « placardées » en s’engouffrant toujours plus loin dans de puissants nouveaux maelstroms psychédéliques pleins de possibilités  invitant par leur générosité le public à y plonger tête et corps en entier.<p>Fracassant  puissant  sur_jouissif  HAPPY BIRTHDAY et vivement les 20 ans  YES !<p>Et  re_yes  en première partie  attention  un formidable duo de japonaises allumées  les tokyoïtes GROUP A qui fomentent des lives viscéraux et irrésistiblement hypnotiques visuellement et musicalement.<br> Avec une mixture de synth_heavy_minimal_wave  d’avant_noise et de performance_art  GROUP A frappe tels les pionniers de la musique industrielle  portant en elles le souffle premier d’entités cultes comme Throbbing Gristle ou Cabaret Voltaire. <br> Une Bête bicéphale terrassante et martelante  là aussi HAUTEMENT recommandé et juste sur_parfaite en ouverture des feux des 10 ans de GNOD_YEAH !<p>Et re/re_yeah  le tout idéalement enrubanné comme il se doit par un duo de passeurs de disques spécialement pensé pour l’occasion : le fulgurant bruxellois TZII aux prises avec l’indomptable SIMON DE WILDRFID.<p>Soirée/mardi soir triple_yeah/yeah/yeah et 10 ans de GNOD  vingt dieux  ça se fête/explose  let’s come_YES !<p><strong>PREMIER CONCERT 21h30 TAPANTES !</strong><p>Plus d’infos : <br> GNOD :<br><a href="https://gnod.bandcamp.com/" rel="nofollow">https://gnod.bandcamp.com/</a><br><a href="http://ingnodwetrust.tumblr.com/" rel="nofollow">http://ingnodwetrust.tumblr.com/</a><br><a href="http://www.swampbooking.com/gnod-manchester/" rel="nofollow">http://www.swampbooking.com/gnod-manchester/</a><br> GROUP A :<br><a href="http://groupaband.com/" rel="nofollow">http://groupaband.com/</a><br><a href="https://groupa.bandcamp.com/" rel="nofollow">https://groupa.bandcamp.com/</a></p></p></p></p></p></p></p></p></p></p></p></p></p>,named place,alternative cave12org music,46.2,6.16667
E0-001-102146683-8,Derrick May  Ana Eva & Gabriela,music,Concerts &amp; Tour Dates,Derrick May,RMANETWORK,None,25.- / free for members, Line-up /<p><a>Derrick May</a><br><a>Ana Eva</a><br><a>Gabriela</a><br><a>DIMI3</a><p> Techno House night with Derrick May and friends :-) <ul></ul></p></p>,named place,club dj electronic hi high house music residentadvisornet singles_social soul tech techno technology tek transmat,46.2,6.16667
